Jabatan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
DEWAS_KETUA,15800000,0,15800000,0,15800000,0,15800000,0,15800000,0,15800000,0
DEWAS_ANGGOTA_1,12150000,0,12150000,0,12150000,0,12150000,0,12150000,0,12150000,0
DEWAS_ANGGOTA_2,12150000,0,12150000,0,24300000,0,12150000,0,12150000,0,24300000,0
DIRUT,31600000,0,31600000,0,31600000,0,31600000,0,31600000,0,31600000,0
DIRUM,12150000,0,12150000,0,12150000,0,12150000,0,12150000,0,12150000,0
DIRTEK,12150000,0,12150000,0,12150000,0,12150000,0,12150000,0,12150000,0
DIROPS,12150000,0,12150000,0,12150000,0,12150000,0,12150000,0,12150000,0
ADM_MANAJER,8100000,8100000,8100000,8100000,8100000,8100000,8100000,8100000,8100000,8100000,8100000,8100000
ADM_SUPERVISOR,19200000,12800000,19200000,12800000,19200000,12800000,19200000,12800000,19200000,12800000,19200000,12800000
ADM_STAF_PELAKSANA,4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000
TEKNIK_MANAJER,8100000,16200000,8100000,16200000,8100000,16200000,8100000,16200000,8100000,16200000,8100000,16200000
TEKNIK_SUPERVISOR,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000
TEKNIK_STAF_PELAKSANA,4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000
